timestamp_str,SFN,SFN_p,Slot,Slot_p,CC,CC_p,HARQ,HARQ_p,MCS,MCS_p,CRC,CRC_p,ReTx,ReTx_p,NDI,NDI_p,threshold,anomaly_score,distance_from_threshold
158.csv;08:19:32.321-2024/12/06;402;5,402,442,5,5,0,0,13,10,28,30,0,0,4,4,1,1,0.015417639557754822,0.016286513,0.0008688732790591049
101.csv;09:52:07.832-2024/09/06;503;0,503,483,0,1,0,0,11,11,15,25,1,1,2,2,1,1,0.015417639557754822,0.016284132,0.0008664928185583877
160.csv;08:09:40.628-2024/12/05;117;10,117,119,10,10,0,0,6,6,29,31,1,1,2,2,0,0,0.015417639557754822,0.016281432,0.0008637919830920028
160.csv;09:25:43.209-2024/12/05;696;1,696,638,1,4,0,0,4,6,30,32,0,0,4,3,1,1,0.015417639557754822,0.016281161,0.0008635218995453643
160.csv;07:55:07.921-2024/12/05;910;10,910,982,10,10,0,0,5,6,30,32,1,1,2,2,1,1,0.015417639557754822,0.016277298,0.0008596587735058593
158.csv;08:03:29.976-2024/12/06;423;17,423,436,17,14,0,0,2,4,30,33,0,0,3,3,0,0,0.015417639557754822,0.016273698,0.0008560582804323959
101.csv;10:08:24.626-2024/09/06;902;4,902,975,4,3,1,1,11,12,24,29,1,1,2,2,1,1,0.015417639557754822,0.016272731,0.000855091567599945
160.csv;09:26:18.754-2024/12/05;154;15,154,107,15,15,0,0,12,12,30,32,1,1,2,2,1,1,0.015417639557754822,0.016266108,0.0008484680014492797
160.csv;08:46:07.235-2024/12/05;666;5,666,606,5,3,0,0,5,6,28,29,0,0,4,4,0,0,0.015417639557754822,0.016262887,0.0008452474879862594
160.csv;09:26:16.102-2024/12/05;913;6,913,812,6,5,0,0,13,12,31,30,1,1,4,4,0,0,0.015417639557754822,0.01625574,0.0008381005185486602
160.csv;07:36:57.666-2024/12/05;429;1,429,421,1,4,0,0,12,11,29,31,1,1,3,3,0,0,0.015417639557754822,0.01625567,0.0008380297380329894
160.csv;07:38:26.343-2024/12/05;80;11,80,87,11,9,0,0,11,12,29,30,1,1,3,3,1,1,0.015417639557754822,0.01625279,0.0008351500886322784
160.csv;07:29:06.483-2024/12/05;414;10,414,449,10,7,0,0,3,6,30,31,0,0,4,4,0,0,0.015417639557754822,0.01624967,0.0008320301580073165
130.csv;21:34:32.715-2024/01/13;612;10,612,664,10,9,0,0,12,13,31,32,1,1,2,2,0,0,0.015417639557754822,0.016249424,0.000831784288847618
160.csv;06:58:28.629-2024/12/05;949;0,949,789,0,2,0,0,10,9,28,31,0,0,3,3,1,1,0.015417639557754822,0.016248923,0.0008312832373024749
160.csv;07:15:17.323-2024/12/05;442;10,442,484,10,7,0,0,1,5,29,30,0,0,4,4,0,0,0.015417639557754822,0.016246809,0.0008291691350580978
160.csv;07:22:55.408-2024/12/05;171;3,171,146,3,4,0,0,2,4,30,31,0,0,3,3,0,0,0.015417639557754822,0.016241407,0.000823767464125328
136.csv;18:51:46.048-2024/01/16;331;19,331,335,19,19,1,1,2,1,16,25,1,1,1,1,0,0,0.015417639557754822,0.016240062,0.0008224226343275833
160.csv;09:11:25.242-2024/12/05;915;5,915,1008,5,3,0,0,10,10,30,31,1,1,2,2,1,1,0.015417639557754822,0.016239021,0.0008213814156891631
160.csv;08:55:49.523-2024/12/05;527;5,527,572,5,6,0,0,4,4,31,33,1,1,2,2,1,1,0.015417639557754822,0.01623821,0.0008205711650492477
160.csv;07:51:59.987-2024/12/05;549;5,549,533,5,5,0,0,5,7,29,30,0,0,4,4,1,1,0.015417639557754822,0.016236564,0.0008189245867373275
160.csv;09:34:15.963-2024/12/05;771;12,771,652,12,8,0,0,12,11,30,30,0,0,4,4,0,0,0.015417639557754822,0.016226364,0.0008087247419001388
160.csv;08:56:23.417-2024/12/05;844;15,844,807,15,13,0,0,15,14,30,30,1,1,3,3,1,1,0.015417639557754822,0.016219875,0.0008022352862002181
157.csv;04:04:21.801-2024/10/29;191;0,191,295,0,4,1,1,9,9,28,28,1,1,4,4,0,0,0.015417639557754822,0.01621971,0.0008020713734270858
160.csv;09:33:02.375-2024/12/05;580;16,580,557,16,10,0,0,6,8,29,32,1,1,4,4,0,0,0.015417639557754822,0.016217535,0.0007998958038927841
101.csv;10:08:06.036-2024/09/06;67;7,67,28,7,7,1,1,12,12,25,30,1,1,2,2,0,0,0.015417639557754822,0.016216286,0.0007986459689976501
160.csv;08:55:55.624-2024/12/05;113;5,113,60,5,5,0,0,0,1,30,31,1,1,2,2,0,0,0.015417639557754822,0.016204111,0.0007864717203022766
157.csv;04:18:10.346-2024/10/29;101;7,101,151,7,9,1,1,9,9,18,24,0,0,2,2,1,1,0.015417639557754822,0.016201941,0.0007843017387034225
160.csv;07:53:23.688-2024/12/05;727;6,727,625,6,6,0,0,11,10,29,30,0,0,4,4,1,1,0.015417639557754822,0.016201677,0.0007840372430922317
